ลำดับ,รหัสสถานศึกษา,ชื่อสถานศึกษา,อาชีวศึกษาจังหวัด,ภาค,ประเภทสถานศึกษา,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,เว็บไซต์
176,1341016102,วิทยาลัยเทคนิคกาญจนาภิเษกอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,7,1,,อุดร-ขอนแก่น,หนองไผ่,เมืองอุดรธานี,อุดรธานี,41330,0-4229-5547,102.887049,17.259105,http://www.kutcudon.ac.th
177,1341016201,วิทยาลัยอาชีวศึกษาอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,8,,,โพศรี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000,42246690,17.4099611,102.7793581,http://www.udvc.ac.th
178,1341016301,วิทยาลัยเกษตรและเทคโนโลยีอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,230,11,,มิตรภาพ-ดงเจริญ,กุดสระ,เมืองอุดรธานี,อุดรธานี,41000,42266103,17.471716,102.8100609,http://www.udcat.ac.th
179,1341016501,วิทยาลัยสารพัดช่างอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยสารพัดช่าง,137,,,อำเภอ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,41000,42221170,17.3974227,102.7884625,http://www.uptech.ac.th
180,1341046401,วิทยาลัยการอาชีพกุมภวาปี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,301,1,,มิตรภาพ อุดร-ขอนแก่น,ปะโค,กุมภวาปี,อุดรธานี,41370, 042-339744,17.1165834,102.9424702,http://www.kpic.ac.th/
181,1341066401,วิทยาลัยการอาชีพหนองหาน,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,572,19,,หนองหาน-กุมภาวปี,หนองหาน,หนองหาน,อุดรธานี,41130,042-261289,17.351551,103.105754,http://www.nonghan.ac.th
182,1341176401,วิทยาลัยการอาชีพบ้านผือ,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,417 หมู่ที่ 1,,,บริบาลภูมิเขตต์,บ้านผือ,บ้านผือ,อุดรธานี,41160,042-282133,17.6760237,102.4719097,http://www.bec.ac.th
183,1341196201,วิทยาลัยการอาชีพอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,88,14,,มิตรภาพ(อุดร-หนองคาย),เชียงหวาง,เพ็ญ,อุดรธานี,41150,42219967,17.6645739,102.9435536,http://www.udcbat.ac.th
184,1342016101,วิทยาลัยเทคนิคเลย,เลย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,272,,,เจริญรัฐ,กุดป่อง,เมืองเลย,เลย,42000,0-4281-1591,17.473746,101.729489,https://www.loeitech.ac.th
185,1342016201,วิทยาลัยอาชีวศึกษาเลย,เลย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,1-มิ.ย.,,,ชุมสาย,กุดป่อง,เมืองเลย,เลย,42000,42812395,17.4872346,101.7317973,http://www.lvc.ac.th
186,1342056401,วิทยาลัยการอาชีพด่านซ้าย,เลย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,231,1,,เลย-ด่านซ้าย,โคกงาม,ด่านซ้าย,เลย,42120,42078124,17.359101,101.25443,http://www.dansai.ac.th
187,1342096401,วิทยาลัยการอาชีพวังสะพุง,เลย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,188,3,,ปากปวน-บ้านโนนสว่าง,ปากปวน,วังสะพุง,เลย,42130,42810261,17.356451,101.7409946,http://www.wic.ac.th
188,1343016101,วิทยาลัยเทคนิคหนองคาย,หนองคาย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,306,5,,มิตรภาพ,โพธิ์ชัย,เมืองหนองคาย,หนองคาย,43000,42411776,17.911058,102.793879,http://www.nktc.ac.th
189,1343016102,วิทยาลัยการอาชีพหนองคาย,หนองคาย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,174/1,1,2,แก้ววรวุฒิ,มีชัย,เมืองหนองคาย,หนองคาย,43000,042-411245,17.876472,102.718973,https://nbitech1.wordpress.com
190,1343016201,วิทยาลัยอาชีวศึกษาหนองคาย,หนองคาย,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,240,1,ประมง,มิตรภาพหนองคาย-อุดรธานี,หนองกอมเกาะ,เมืองหนองคาย,หนองคาย,43000,042-422715-6,17.8601157,102.7414169,http://www.nkvc.ac.th
191,1344016101,วิทยาลัยเทคนิคมหาสารคาม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,460,,,นครสวรรค์,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,43711403,16.1880172,103.2971602,http://www.mtc.ac.th
192,1344016201,วิทยาลัยอาชีวศึกษามหาสารคาม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,579,,,นครสวรรค์,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,43711371,16.1786202,103.3126281,http://www.mvc.ac.th
193,1344016301,วิทยาลัยเกษตรและเทคโนโลยีมหาสารคาม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,147,17,,แจ้งสนิท,เขวา,เมืองมหาสารคาม,มหาสารคาม,44000,043-750436,16.1425157,103.4139479,http://www.mcat.ac.th
194,1344016501,วิทยาลัยการอาชีพมหาสารคาม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,84,6,,แจ้งสนิท,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,44000,043-971203,16.13917,103.251873,http://www.mpc.ac.th
195,1344086401,วิทยาลัยการอาชีพพยัคฆภูมิพิสัย,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,57,6,,อรุณประเสริฐ,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,44110,43750561,15.51903,103.24698,http://www.ppice.ac.th
196,1344096401,วิทยาลัยเทคนิควาปีปทุม,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,142,7,,วาปี-จตุรพักตรพิมาน,หนองแสง,วาปีปทุม,มหาสารคาม,44120,43798380,15.8366454,103.3958814,http://hwapi-tech.ac.th
197,1345016101,วิทยาลัยเทคนิคร้อยเอ็ด,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,210,,,เทวาภิบาล,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,43511290,16.05197926,103.6563056,http://www.retc.ac.th
198,1345016201,วิทยาลัยอาชีวศึกษาร้อยเอ็ด,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,115,1,0,สุริยเดชบำรุง,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,043-511430,16.059341,103.653688,http://www.rvc.ac.th
199,1345016401,วิทยาลัยการอาชีพร้อยเอ็ด,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,177,,,รณชัยชาญยุทธ,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,43513862,16.04869,103.659106,http://www.roiet-icec.ac.th
200,1345026401,วิทยาลัยเทคนิคเกษตรวิสัย,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,231,3,,,เมืองบัว,เกษตรวิสัย,ร้อยเอ็ด,45150,43589119,15.6278841,103.5575336,http://www.kaset.ac.th
201,1345066301,วิทยาลัยเกษตรและเทคโนโลยีร้อยเอ็ด,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,235,4,,แจ้งสนิท,นิเวศน์,ธวัชบุรี,ร้อยเอ็ด,45170,43569117,16.047891,103.726951,http://www.rcat.ac.th
202,1345066401,วิทยาลัยการอาชีพพนมไพร,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,73,1,,บ้านเจริญศิลป์-หนองทัพไทย,สระแก้ว,พนมไพร,ร้อยเอ็ด,45140,43590272,15.6867282,104.074386,http://www.piacec.ac.th
203,1345076401,วิทยาลัยการอาชีพโพนทอง,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,60,11,,โพนทอง-หนองพอก,แวง,โพนทอง,ร้อยเอ็ด,45110,43571144,16.2987009,103.9920341,http://www.pticec.ac.th
204,1345116101,วิทยาลัยเทคนิคสุวรรณภูมิ,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,152,3,,อรุณประเสริฐ,หินกอง,สุวรรณภูมิ,ร้อยเอ็ด,45130,43556399,15.647503,103.706474,http://www.swtc.ac.th
205,1346016101,วิทยาลัยเทคนิคกาฬสินธุ์,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,15,1,,อรรถเปศล,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,43811782,16.4289946,103.5099656,http://www.ktc.ac.th
206,1346016501,วิทยาลัยการอาชีพกาฬสินธุ์,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,65,,,สนามบิน,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,43812101,16.41764682,103.5165606,http://www.kpc.ac.th
207,1346066102,วิทยาลัยเทคนิคเขาวง,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,88/8,11,,เขาวง-กุฉินารายณ์,กุดสิมคุ้มใหม่,เขาวง,กาฬสินธุ์,46160,0-4385-9251,16.759838,104.070311,http://www.kwtc.ac.th
208,1346106401,วิทยาลัยการอาชีพคำม่วง,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,317,3,,227กาฬสินธุ์-วังสามหมอ,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,46180,0-864505992,16.9072678,103.5997379,http://www.km.ac.th
209,1346126401,วิทยาลัยการอาชีพหนองกุงศรี,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,25,2,,ห้วยเม็ก-ท่าคันโท,ลำหนองแสน,หนองกุงศรี,กาฬสินธุ์,46220,043840762-3,16.6912934,103.2766164,http://www.nks.ac.th
210,1346146401,วิทยาลัยการอาชีพห้วยผึ้ง,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,10,8,,นาคู-นิคมห้วยผึ้ง,นิคมห้วยผึ้ง,ห้วยผึ้ง,กาฬสินธุ์,46240,0-43869222,16.6541854,103.9112171,http://www.hpicec.net
211,1347016101,วิทยาลัยเทคนิคสกลนคร,สกลนคร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,219,,,นิตโย,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,47000,42970165,17.1952426,104.0884048,http://www.techsakon.ac.th
212,1347016501,วิทยาลัยอาชีวศึกษาสกลนคร,สกลนคร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยอาชีวศึกษา,448,,,สกลนคร-นาแก,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,47000,42971136,17.130349,104.134306,http://www.snkvc.ac.th
213,1347046401,วิทยาลัยการอาชีพพรรณานิคม,สกลนคร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,58,6,,สูงเนิน-อากาศอำนวย,สว่าง,พรรณานิคม,สกลนคร,47130,042-707617,17.332131,103.9812055,http://www.phannanikhom.ac.th
214,1347126401,วิทยาลัยเทคนิคสว่างแดนดิน,สกลนคร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,784,11,,อุดมธรรมภักดี,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,47110,42721991,17.481591,103.46004,http://www.swicec.ac.th
215,1348016501,วิทยาลัยเทคนิคนครพนม,นครพนม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,270,,,เฟื่องนคร,ในเมือง,เมืองนครพนม,นครพนม,48000,42512434,17.4013696,104.7785315,http://www.nkptc.ac.th
216,1348026401,วิทยาลัยการอาชีพวัดโฆสมังคลาราม,นครพนม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,124,2,,,โคกสว่าง,ปลาปาก,นครพนม,48160,42199541,17.121706,104.451675,http://www.wksvec.ac.th
217,1348046101,วิทยาลัยเทคนิคบ้านแพง,นครพนม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยเทคนิค,367,2,,,บ้านแพง,บ้านแพง,นครพนม,48140,042-591-448,17.953314,104.2014314,http://www.bpt.ac.th
218,1348076401,วิทยาลัยการอาชีพนาแก,นครพนม,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,219,1,,หนองหอย-แขนนาง,นาคู่,นาแก,นครพนม,48130,042-530958,16.9739331,104.5244778,http://www.nkcc.ac.th
219,1349016401,วิทยาลัยการอาชีพนวมินทราชินีมุกดาหาร,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,68,6,,ห้าธันวามหาราช,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,49000,42612965,16.56602779,104.690739,http://www.mec.ac.th
220,1349026401,วิทยาลัยการอาชีพนิคมคำสร้อย,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,119 หมู่ 1,1,,ชยางกูร,โชคชัย,นิคมคำสร้อย,มุกดาหาร,49130,42662564,16.334999,104.523832,http://www.nksc.ac.th
221,1349036601,วิทยาลัยการอาชีพดอนตาล,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,117,11,,ดอนตาล-ชานุมาน,ดอนตาล,ดอนตาล,มุกดาหาร,49120,42040178,161332,1045627,http://www.dtic.ac.th
222,1349056401,วิทยาลัยการอาชีพคำชะอี,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,วิทยาลัยการอาชีพ,,3,,,บ้านซ่ง ,คำชะอี ,มุกดาหาร,49110,,16.5887203,104.4477014,
223,1350016101,วิทยาลัยเทคนิคเชียงใหม่,เชียงใหม่,ภาคเหนือ,วิทยาลัยเทคนิค,9,,,เวียงแก้ว,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,50200,53217708,18.7933,98.9835,http://www.cmtc.ac.th
224,1350016201,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,167,,,พระปกเกล้า,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,50200,53221493,18.7920936,98.9872067,http://www.cmvc.ac.th
225,1350016501,วิทยาลัยสารพัดช่างเชียงใหม่,เชียงใหม่,ภาคเหนือ,วิทยาลัยสารพัดช่าง,49,5,,ห้วยแก้ว,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,50300,053-211592,18.8033525,98.9649235,http://www.cmpoly.ac.th
226,1350026401,วิทยาลัยการอาชีพจอมทอง,เชียงใหม่,ภาคเหนือ,วิทยาลัยการอาชีพ,619,15,,จอมทอง-อินทนนท์,ข่วงเปา,จอมทอง,เชียงใหม่,50160,53341872,18.460173,98.67429,http://www.cicec.ac.th
227,1350096401,วิทยาลัยการอาชีพฝาง,เชียงใหม่,ภาคเหนือ,วิทยาลัยการอาชีพ,199,11,,โชตนา,แม่สูน,ฝาง,เชียงใหม่,50110,0-53346819,19.8634305,99.1661811,http://www.fve.ac.th
228,1350126301,วิทยาลัยเกษตรและเทคโนโลยีเชียงใหม่,เชียงใหม่,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,249,11,1,อำนวยโยธา,บ้านกลาง,สันป่าตอง,เชียงใหม่,50120,0-5331-1392,18.58074427,98.87371182,http://www.cmcat.ac.th
229,1350136101,วิทยาลัยเทคนิคสันกำแพง,เชียงใหม่,ภาคเหนือ,วิทยาลัยเทคนิค,76,1,,เชียงใหม่-น้ำพุร้อนสันกำแพง,บ้านสหกรณ์,แม่ออน,เชียงใหม่,50130,053-929079,18.755151,99.229406,http://www.skptc.ac.th
230,1350196601,วิทยาลัยเทคนิคสารภี,เชียงใหม่,ภาคเหนือ,วิทยาลัยเทคนิค,139/7,5,,เชียงใหม่-ลำพูน,หนองผึ้ง,สารภี,เชียงใหม่,50140,53423301,18.7259744,99.0242268,http://www.srptc.ac.th
231,1351016101,วิทยาลัยเทคนิคลำพูน,ลำพูน,ภาคเหนือ,วิทยาลัยเทคนิค,42,1,0,ลำพูน-ป่าซาง,ในเมือง,เมืองลำพูน,ลำพูน,51000,53511073,18.5723576,98.9997131,http://www.ltc.ac.th
232,1351026301,วิทยาลัยเกษตรและเทคโนโลยีลำพูน,ลำพูน,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,99 ม.5,5,,เชียงใหม่-ลำปาง,ทาสบเส้า,แม่ทา,ลำพูน,51140,0-5300-6252,18.4886178,99.1290456,http://www.lcat.ac.th
233,1351036401,วิทยาลัยการอาชีพบ้านโฮ่ง,ลำพูน,ภาคเหนือ,วิทยาลัยการอาชีพ,239,3,,ป่าป๋วย-หนองเขียด,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,51130,086-4311385,18.3030546,98.8041893,http://www.banhong.ac.th
234,1351066401,วิทยาลัยการอาชีพป่าซาง,ลำพูน,ภาคเหนือ,วิทยาลัยการอาชีพ,191,4,,ลำพูน-ทุ่งหัวช้าง,นครเจดีย์,ป่าซาง,ลำพูน,51120,053-555018,18.4073051,98.8699853,http://www.pasangic.ac.th
235,1352016101,วิทยาลัยเทคนิคลำปาง,ลำปาง,ภาคเหนือ,วิทยาลัยเทคนิค,15,,,ท่าคราวน้อย,สบตุ๋ย,เมืองลำปาง,ลำปาง,52100,54223006,18.2882099,99.4831676,http://www.lampangtc.ac.th
236,1352016201,วิทยาลัยอาชีวศึกษาลำปาง,ลำปาง,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,272,,,พหลโยธิน,หัวเวียง,เมืองลำปาง,ลำปาง,52000,54217101,18.288049,99.504606,http://www.lampangvc.ac.th
237,1352016501,วิทยาลัยสารพัดช่างลำปาง,ลำปาง,ภาคเหนือ,วิทยาลัยสารพัดช่าง,551,1,ไม่มี,ไม่มี,พระบาท,เมืองลำปาง,ลำปาง,52000,54821567,18.2787596,99.51571807,http://www.lampangpoly.ac.th
238,1352026601,วิทยาลัยเทคนิค กฟผ. แม่เมาะ,ลำปาง,ภาคเหนือ,วิทยาลัยเทคนิค,393,11,,,แม่เมาะ,แม่เมาะ,ลำปาง,52220,054-330373,18.275059,99.650725,http://www.egtech.ac.ch
239,1352036401,วิทยาลัยเทคนิคนครลำปาง,ลำปาง,ภาคเหนือ,วิทยาลัยเทคนิค,429,2,,นครสวรรค์-เชียงราย,ศาลา,เกาะคา,ลำปาง,52130,054-252266,18.204462,99.411571,http://www.kiec.ac.th
240,1352066401,วิทยาลัยการอาชีพแจ้ห่ม ,ลำปาง,ภาคเหนือ,วิทยาลัยการอาชีพ,373,10,,แจ้ห่ม-ลำปาง,แจ้ห่ม,แจ้ห่ม,ลำปาง,52120,054-271559,18.7257601,99.5875762,http://www.chaehomic.ac.th
241,1352086401,วิทยาลัยการอาชีพเถิน,ลำปาง,ภาคเหนือ,วิทยาลัยการอาชีพ,147,1,,เถิน-ทุ่งเสลี่ยม,แม่ปะ,เถิน,ลำปาง,52160,54292701,17.630404,99.257745,http://www.thoen.ac.th
242,1353016101,วิทยาลัยเทคนิคอุตรดิตถ์,อุตรดิตถ์,ภาคเหนือ,วิทยาลัยเทคนิค,81,2,,พาดวารี,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,53000,55412917,17.611629,100.1127,http://www.uttc.ac.th
243,1353016201,วิทยาลัยอาชีวศึกษาอุตรดิตถ์,อุตรดิตถ์,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,9,,,แปดวา,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,53000,55411221,17.62543,100.098054,http://www.uttvc.ac.th
244,1353016501,วิทยาลัยสารพัดช่างอุตรดิตถ์,อุตรดิตถ์,ภาคเหนือ,วิทยาลัยสารพัดช่าง,17,,,อินใจมี,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,53000,55416879,17.635393,100.095824,http://www.upc.ac.th
245,1353056401,วิทยาลัยการอาชีพรัตนประสิทธิ์วิทย์,อุตรดิตถ์,ภาคเหนือ,วิทยาลัยการอาชีพ,89,9,,,สองคอน,ฟากท่า,อุตรดิตถ์,53160,55479866,17.977132,100.857069,http://rpwc.ac.th/faktha/
246,1353076401,วิทยาลัยการอาชีพพิชัย,อุตรดิตถ์,ภาคเหนือ,วิทยาลัยการอาชีพ,154,1,,พิชัย-บ้านแก่ง,ในเมือง,พิชัย,อุตรดิตถ์,53120,55832043,17.30984,100.07136,http://www.picc.ac.th
247,1354016101,วิทยาลัยเทคนิคแพร่,แพร่,ภาคเหนือ,วิทยาลัยเทคนิค,5,1,,เหมืองหิต,ในเวียง,เมืองแพร่,แพร่,54000,54511142,18.13505,100.135708,http://www.technicphrae.ac.th
248,1354016201,วิทยาลัยอาชีวศึกษาแพร่,แพร่,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,4,,,ยันตรกิจโกศล,ในเวียง,เมืองแพร่,แพร่,54000,54511286,18.1334492,100.1466216,http://www.pvc.ac.th
249,1354036401,วิทยาลัยการอาชีพลอง,แพร่,ภาคเหนือ,วิทยาลัยการอาชีพ,94,10,,รพช.แม่ปาน-ดอนมูล,ห้วยอ้อ,ลอง,แพร่,54150,54583117,18.0517883,99.8364842,http://www.lic.ac.th
250,1354046501,วิทยาลัยสารพัดช่างแพร่,แพร่,ภาคเหนือ,วิทยาลัยสารพัดช่าง,147,4,,ยันตรกิจโกศล,ร่องกาศ,สูงเม่น,แพร่,54130,054-542882,18.108734,100.131114,http://www.pptc.ac.th
251,1354056301,วิทยาลัยเกษตรและเทคโนโลยีแพร่,แพร่,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,586,8,,เด่นชัย-ศรีสัชนาลัย,เด่นชัย,เด่นชัย,แพร่,54110,54613313,17.96485124,100.0658587,http://www.pcat.ac.th
252,1354066401,วิทยาลัยการอาชีพสอง,แพร่,ภาคเหนือ,วิทยาลัยการอาชีพ,535,6,,,บ้านหนุน,สอง,แพร่,54120,054-591038,18.4351647,100.1958986,http://www.song.ac.th
253,1355016101,วิทยาลัยเทคนิคน่าน,น่าน,ภาคเหนือ,วิทยาลัยเทคนิค,2,,,รอบกำแพงเมืองตะวันตก,ในเวียง,เมืองน่าน,น่าน,55000,54719552,18.77824,100.766044,http://www.technicnan.ac.th
254,1355016501,วิทยาลัยสารพัดช่างน่าน,น่าน,ภาคเหนือ,วิทยาลัยสารพัดช่าง,150,,,สุมนเทวราช,ในเวียง,เมืองน่าน,น่าน,55000,054-710367,18.183812,100.779115,http://www.npc.ac.th
255,1355056401,วิทยาลัยเทคนิคปัว,น่าน,ภาคเหนือ,วิทยาลัยเทคนิค,237,1,,น่าน-ทุ่งช้าง,ปัว,ปัว,น่าน,55120,54791326,19.18057507,100.8881104,http://www.puaicec.ac.th
256,1355076401,วิทยาลัยการอาชีพเวียงสา,น่าน,ภาคเหนือ,วิทยาลัยการอาชีพ,138,5,,ยันตรกิจโกศล,นาเหลือง,เวียงสา,น่าน,55110,54718340,18.6792609,100.8245199,http://www.wiangsa.ac.th
257,1356016101,วิทยาลัยเทคนิคพะเยา,พะเยา,ภาคเหนือ,วิทยาลัยเทคนิค,355,11,,สนามกีฬา,บ้านต๋อม,เมืองพะเยา,พะเยา,56000,0-54887199,19.20122979,99.88717431,http://www.phayaotc.ac.th
258,1356016301,วิทยาลัยเกษตรและเทคโนโลยีพะเยา,พะเยา,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,1,6,,พะเยา - วังเหนือ,แม่นาเรือ,เมืองพะเยา,พะเยา,56000,0-5407-9835,19.0921762,99.8241777,http://www.pycat.ac.th
259,1356036401,วิทยาลัยเทคนิคเชียงคำ,พะเยา,ภาคเหนือ,วิทยาลัยเทคนิค,141,10,,เชียงคำ-ปง,ฝายกวาง,เชียงคำ,พะเยา,56110,054-883510,19.4632792,100.323735,http://www.cktc.ac.th
260,1356056401,วิทยาลัยเทคนิคดอกคำใต้,พะเยา,ภาคเหนือ,วิทยาลัยเทคนิค,69,10,,,ดงสุวรรณ,ดอกคำใต้,พะเยา,56120,0-54894574,19.243736,100.0494,http://www.dkttc.ac.th
261,1356066601,วิทยาลัยการอาชีพปง,พะเยา,ภาคเหนือ,วิทยาลัยการอาชีพ,135,6,,จุน-ปง,นาปรัง,ปง,พะเยา,56140,54430982,19.1972605,100.2635637,http://www.pongtechno.ac.th
262,1357016101,วิทยาลัยเทคนิคเชียงราย,เชียงราย,ภาคเหนือ,วิทยาลัยเทคนิค,1046,,,สนามบิน,เวียง,เมืองเชียงราย,เชียงราย,57000,53713038,19.9028365,99.8282573,http://www.ctc.ac.th
263,1357016102,วิทยาลัยเทคนิคกาญจนาภิเษกเชียงราย,เชียงราย,ภาคเหนือ,วิทยาลัยเทคนิค,91,9,,เด่นห้า-ดงมะดะ,ป่าอ้อดอนชัย,เมืองเชียงราย,เชียงราย,57000,0-53673912,19.862183,99.767868,http://www.kctc.ac.th
264,1357016201,วิทยาลัยอาชีวศึกษาเชียงราย,เชียงราย,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,670,,,ธนาลัย,เวียง,เมืองเชียงราย,เชียงราย,57000,053-713036,19.908974,99.836214,http://www.cvc.ac.th
265,1357016301,วิทยาลัยเกษตรและเทคโนโลยีเชียงราย,เชียงราย,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,51,6,2,บ้านฟาร์มสัมพันธกิจ,ริมกก,เมืองเชียงราย,เชียงราย,57100,052-029695,19.9389969,99.9031287,http://www.crcat.ac.th/2019
266,1357016401,วิทยาลัยการอาชีพเชียงราย,เชียงราย,ภาคเหนือ,วิทยาลัยการอาชีพ,324,13,,เชียงราย-เทิง,ท่าสาย,เมืองเชียงราย,เชียงราย,57000,0-5377-4589,19.8511225,99.8481578,http://www.cric.ac.th
267,1357026401,วิทยาลัยการอาชีพเวียงเชียงรุ้ง,เชียงราย,ภาคเหนือ,วิทยาลัยการอาชีพ,132,3,2,บ้านเด่นสันทราย,ทุ่งก่อ,เวียงเชียงรุ้ง,เชียงราย,57350,53953392,19.97113,100.021935,http://www.wice.ac.th
268,1357046401,วิทยาลัยเทคนิคเทิง,เชียงราย,ภาคเหนือ,วิทยาลัยเทคนิค,191,15,,พิศาล,เวียง,เทิง,เชียงราย,57160,053-795526,19.683115,100.199108,http://www.tice.ac.th
