ลำดับ,รหัสโรงเรียน,ชื่อโรงเรียน,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,การรับอุดหนุน,สถานะโรงเรียน
223,1334100045,วิทยาลัยอาชีวศึกษาโปลีเทคนิคภาคตะวันออกเฉียงเหนือ,749/1,,,ชยางกูร,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,045-311-737,15.265134,104.8440025,รับอุดหนุน,เปิดกิจการ
224,1334100046,วิทยาลัยเทคโนโลยีอาชีวศึกษาอุบลราชธานี,487,18,,ชยางกูร,ขามใหญ่,เมืองอุบลราชธานี,อุบลราชธานี,045-312-176,,,ไม่รับอุดหนุน,ไม่มีนักเรียน/ไม่จัดการเรียนการสอน
225,1334100047,วิทยาลัยเทคโนโลยีราชพฤกษ์,330,10,,,เมืองเดช,เดชอุดม,อุบลราชธานี,045-870-026,14.944522,105.031985,รับอุดหนุน,เปิดกิจการ
226,1334100070,วิทยาลัยอาชีวศึกษาชุติญาบริหารธุรกิจ,74,15,,แจ้งสนิท(อุบลฯ-เขื่องใน),หนองขอน,เมืองอุบลราชธานี,อุบลราชธานี,045-344-159,15.3192345,104.7343588,รับอุดหนุน,เปิดกิจการ
227,1334100114,นันตาศึกษา แผนกอาชีวศึกษา (ยกเลิกชั้นเรียนระดับปวชแล้ว),138,1,,เขื่องใน-ยางชุมน้อย,เขื่องใน,เขื่องใน,อุบลราชธานี,045-423545,,,ไม่รับอุดหนุน,เลิกกิจการ
228,1334100115,วิทยาลัยเทคโนโลยีคาริสา,66,12,,,พะลาน,นาตาล,อุบลราชธานี,933024419,15.9510499,105.3464071,รับอุดหนุน,เปิดกิจการ
229,1334100118,วิทยาลัยอาชีวศึกษาวัดสวายน้อย,9,4,,,ยางใหญ่,น้ำยืน,อุบลราชธานี,862464712,14.5844818,105.1183156,รับอุดหนุน,เปิดกิจการ
230,1334100119,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย บุณฑริก,99,9,,,โพนงาม,บุณฑริก,อุบลราชธานี,084-5852870,14.7564401,105.4201202,รับอุดหนุน,เปิดกิจการ
231,1334100120,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย เขมราฐ,333,2,,ตระการ - เขมราฐ,หัวนา,เขมราฐ,อุบลราชธานี,45861214,15.8326236,105.1590858,รับอุดหนุน,เปิดกิจการ
232,1334100121,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย น้ำยืน,399,13,,,สีวิเชียร,น้ำยืน,อุบลราชธานี,045-955207,14.4912824,105.0444412,รับอุดหนุน,เปิดกิจการ
233,1334100122,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย สิรินธร,80,15,,สถิตนิมานกาล,คันไร่,สิรินธร,อุบลราชธานี,045-210446,15.175663,105.355578,รับอุดหนุน,เปิดกิจการ
234,1334100128,วิทยาลัยเทคโนโลยีจาฏุพัจน์ศึกษาสงเคราะห์,36,8,,อุบล-ตระการ,ไร่น้อย,เมืองอุบลราชธานี,อุบลราชธานี,045-422501,15.3453866,104.9132584,รับอุดหนุน,เปิดกิจการ
235,1334100134,วิทยาลัยเทคโนโลยีพณิชยการนาจะหลวย,75,18,,,นาจะหลวย,นาจะหลวย,อุบลราชธานี,817908709,14.532738,105.2401084,รับอุดหนุน,เปิดกิจการ
236,1334100138,วิทยาลัยอาชีวศึกษาเตรียมบัณฑิตบุณฑริก,239,2,,,บัวงาม,บุณฑริก,อุบลราชธานี,45376075,14.7555158,105.3850623,รับอุดหนุน,เปิดกิจการ
237,1334100140,วิทยาลัยอาชีวศึกษาสัมมาสิกขาวิชชาราม,77,10,,,วารินชำราบ,วารินชำราบ,อุบลราชธานี,854976700,15.224911,104.8993791,รับอุดหนุน,เปิดกิจการ
238,1334100143,วิทยาลัยเทคโนโลยีธัญลักษณ์,442/2,5,,ม่วงสามสิบ-เขื่องใน,ม่วงสามสิบ,ม่วงสามสิบ,อุบลราชธานี,,15.5063087,104.7213437,รับอุดหนุน,เปิดกิจการ
239,1334100145,วิทยาลัยเทคโนโลยีสมาร์ทเทค,199/9,2,,,บัวงาม,บุณฑริก,อุบลราชธานี,087 -5450961,14.7657502,105.3971042,รับอุดหนุน,เปิดกิจการ
240,1334100148,วิทยาลัยอาชีวศึกษาการจัดการอุตสาหกรรมบริการ,370,17,,อุบล-พิบูลฯ,ไร่น้อย,เมืองอุบลราชธานี,อุบลราชธานี,045-996162,15.2805693,104.8659017,รับอุดหนุน,เปิดกิจการ
241,1334100149,วิทยาลัยอาชีวศึกษาพลาญข่อย,122,10,,,ช่องเม็ก,สิรินธร,อุบลราชธานี,932344556,15.0970369,105.4516121,รับอุดหนุน,เปิดกิจการ
242,1334100150,วิทยาลัยอาชีวศึกษาเขื่องใน,117,7,,,เขื่องใน,เขื่องใน,อุบลราชธานี,045-251868,15.8369633,104.1090434,รับอุดหนุน,เปิดกิจการ
243,1335100012,วิทยาลัยเทคโนโลยียโสธรอินเตอร์เนชั่นแนล,154,5,,แจ้งสนิท,สำราญ,เมืองยโสธร,ยโสธร,045-586-301,15.8324036,104.1135022,รับอุดหนุน,เปิดกิจการ
244,1335100015,วิทยาลัยเทคโนโลยีมหาชนะชัย,297,9,,ชัยกุมาร,ฟ้าหยาด,มหาชนะชัย,ยโสธร,045-979-808,15.5333272,104.226702,รับอุดหนุน,เปิดกิจการ
245,1335100016,วิทยาลัยเทคโนโลยีศรีพิพัฒน์อินเตอร์,192,5,,วารีราชเดช,กุดชุม,กุดชุม,ยโสธร,045-789-337,16.0168666,104.3201065,รับอุดหนุน,เปิดกิจการ
246,1335100018,วิทยาลัยอาชีวศึกษายโสธร,77,11,,แจ้งสนิท,สำราญ,เมืองยโสธร,ยโสธร,045-586-029,15.8369633,104.1090434,รับอุดหนุน,เปิดกิจการ
247,1335100020,วิทยาลัยอาชีวศึกษาเลิงนกทา,102,2,,ชยางกูร,สามแยก,เลิงนกทา,ยโสธร,045-781-661,16.187406,104.565131,รับอุดหนุน,เปิดกิจการ
248,1335100024,วิทยาลัยเทคโนโลยีไทยธุรกิจ,93,2,,โคกยาว-นาเวียง,ดู่ลาด,ทรายมูล,ยโสธร,045-970-499,15.99847072,104.1957951,รับอุดหนุน,เปิดกิจการ
249,1335100027,วิทยาลัยเทคโนโลยีเอกวรรณยโสธร,191,8,,วารีราชเดช,ทุ่งแต้,เมืองยโสธร,ยโสธร,045-583-071,15.91838,104.1944137,รับอุดหนุน,เปิดกิจการ
250,1336100024,วิทยาลัยเทคโนโลยีชัยภูมิบริหารธุรกิจ,107/118,,,ชัยประสิทธิ์,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,044-811-331,15.8118233,102.0236291,รับอุดหนุน,เปิดกิจการ
251,1336100025,วิทยาลัยเทคโนโลยีบริหารธุรกิจศิขรินทร์,89,8,,ภูเขียว-ชัยภูมิ,ธาตุทอง,ภูเขียว,ชัยภูมิ,868597112,16.2369152,102.1951428,รับอุดหนุน,เปิดกิจการ
252,1336100026,วิทยาลัยเทคโนโลยีภูเขียว,199,17,,ภูเขียว  - เกษตรสมบูรณ์,ผักปัง,ภูเขียว,ชัยภูมิ,044-862-202,16.3614657,102.1158374,รับอุดหนุน,เปิดกิจการ
253,1336100028,วิทยาลัยอาชีวศึกษาไทเฉลิมราชชัยภูมิ,155,11,,,หนองบัวแดง,หนองบัวแดง,ชัยภูมิ,044-100882,16.07160792,101.7865642,รับอุดหนุน,เปิดกิจการ
254,1336100029,วิทยาลัยเทคโนโลยี ไฮเทค ชัยภูมิ,151,7,,,กุดเลาะ,เกษตรสมบูรณ์,ชัยภูมิ,044-136-688,16.294415,101.936306,รับอุดหนุน,เปิดกิจการ
255,1336100030,วิทยาลัยเทคโนโลยีอีสานบริหารธุรกิจ,9,11,,เกษตรสมบูรณ์-บ้านเป้า,กุดเลาะ,เกษตรสมบูรณ์,ชัยภูมิ,062-9016871,16.28639563,101.943047,รับอุดหนุน,เปิดกิจการ
256,1336100042,วิทยาลัยเทคโนโลยีคอนสาร,214,8,,คอนสาร - เขื่อนจุฬาภรณ์,ทุ่งนาเลา,คอนสาร,ชัยภูมิ,868597112,,,รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
257,1336100044,วิทยาลัยอาชีวศึกษาศรีภามหานคร,169,7,,ชุมแพ-หล่มสัก,ดงบัง,คอนสาร,ชัยภูมิ,819655155,16.5938735,101.9573949,รับอุดหนุน,เปิดกิจการ
258,1336100047,วิทยาลัยเทคโนโลยีบางกอก,432,13,,หนองบัวแดง - ชัยภูมิ,หนองบัวแดง,หนองบัวแดง,ชัยภูมิ,044-100337,16.0739246,101.8106127,รับอุดหนุน,เปิดกิจการ
259,1336100049,วิทยาลัยเทคโนโลยีบ้านแท่น,101,10,,,สามสวน,บ้านแท่น,ชัยภูมิ,089-941-4383,16.3789187,102.2886419,รับอุดหนุน,เปิดกิจการ
260,1336100050,วิทยาลัยอาชีวศึกษาชัยภูมิ,195,12,,คอนสวรรค์-ลาดใหญ่,บ้านโสก,คอนสวรรค์,ชัยภูมิ,084-792-1919,15.9015935,102.26191,รับอุดหนุน,เปิดกิจการ
261,1336100052,วิทยาลัยอาชีวศึกษามหานครอาเซียน,50,2,,,วะตะแบก,เทพสถิต,ชัยภูมิ,847921919,15.3949172,101.4529745,รับอุดหนุน,เปิดกิจการ
262,1336100053,วิทยาลัยเทคโนโลยีมหานครชัยภูมิ,399,14,,,นาฝาย,เมืองชัยภูมิ,ชัยภูมิ,081-9655155,15.9259619,102.0147147,รับอุดหนุน,เปิดกิจการ
263,1337100005,วิทยาลัยอาชีวศึกษาโปลีเทคอำนาจเจริญ,143/1,9,,อรุณประเสริฐ,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,045-511-555,15.8650819,104.6296747,รับอุดหนุน,เปิดกิจการ
264,1337100006,วิทยาลัยเทคโนโลยีอำนาจเจริญ,199,20,,อรุณประเสริฐ,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,045-452-434,15.872482,104.6551754,รับอุดหนุน,เปิดกิจการ
265,1337100007,วิทยาลัยอาชีวศึกษาเอกวรรณ,93,10,,อรุณประเสริฐ,หนองมะแซว,เมืองอำนาจเจริญ,อำนาจเจริญ,045-524-529,15.8643846,104.7249902,รับอุดหนุน,เปิดกิจการ
266,1337100008,วิทยาลัยเทคโนโลยีสมาร์ทพลัส,59,6,,,อำนาจ,ลืออำนาจ,อำนาจเจริญ,875450961,15.691743,104.6481826,รับอุดหนุน,เปิดกิจการ
267,1337100009,วิทยาลัยเทคโนโลยีปทุมราชวงศา,337,2,,,นาหว้า,ปทุมราชวงศา,อำนาจเจริญ,816617978,15.8837914,104.9165425,รับอุดหนุน,เปิดกิจการ
268,1338100001,วิทยาลัยเทคโนโลยีโซ่พิสัย,237,8,,,คำแก้ว,โซ่พิสัย,บึงกาฬ,42086002,18.08656651,103.4883785,รับอุดหนุน,เปิดกิจการ
269,1338100003,วิทยาลัยเทคโนโลยีเอ็น-เทค บริหารธุรกิจปากคาด,195,10,,,ปากคาด,ปากคาด,บึงกาฬ,042-087200,18.3172783,103.315634,รับอุดหนุน,เปิดกิจการ
270,1339100008,วิทยาลัยเทคโนโลยีพิชญบัณฑิต,171/1,2,,วิจารณ์รังสรรค์,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,42361044,17.2001622,102.4451065,รับอุดหนุน,เปิดกิจการ
271,1339100017,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทยนากลาง,64,12,,อุดร-เลย,นากลาง,นากลาง,หนองบัวลำภู,042-359-601,17.2949035,102.2213277,รับอุดหนุน,เปิดกิจการ
272,1339100025,วิทยาลัยเทคโนโลยีบริหารธุรกิจศรีบุญเรือง,159,13,,,ศรีบุญเรือง,ศรีบุญเรือง,หนองบัวลำภู,042-353237,16.9444645,102.2603751,รับอุดหนุน,เปิดกิจการ
273,1339100026,วิทยาลัยเทคโนโลยีสงวนบริหารธุรกิจ,137/2,5,,,นากลาง,นากลาง,หนองบัวลำภู,42315703,17.3102668,102.2100756,รับอุดหนุน,เปิดกิจการ
274,1339100027,วิทยาลัยเทคโนโลยี ไทย - ญี่ปุ่น โยยากุ,73,1,,,โพธิ์ชัย,เมืองหนองบัวลำภู,หนองบัวลำภู,828745170,17.2063333,102.4089113,รับอุดหนุน,เปิดกิจการ
275,1340100094,วิทยาลัยเทคโนโลยีธุรกิจอาชีวะ,ก.ย.-99,13,,กสิกรทุ่งสร้าง,ในเมือง,เมืองขอนแก่น,ขอนแก่น,43247568,,,รับอุดหนุน,เลิกกิจการ
276,1340100095,วิทยาลัยเทคโนโลยีไทยบริหารธุรกิจขอนแก่น,ก.ย.-99,13,,กสิกรทุ่งสร้าง,ในเมือง,เมืองขอนแก่น,ขอนแก่น,043-237237,,,รับอุดหนุน,เลิกกิจการ
277,1340100096,วิทยาลัยเทคโนโลยีขอนแก่นบริหารธุรกิจ,99/99,13,,กสิกรทุ่งสร้าง,ในเมือง,เมืองขอนแก่น,ขอนแก่น,43237911,16.4515482,102.8427768,รับอุดหนุน,เปิดกิจการ
278,1340100097,วิทยาลัยเทคโนโลยีการจัดการขอนแก่น,118/1,13,,ราษฎร์คนึง,ในเมือง,เมืองขอนแก่น,ขอนแก่น,043-331224-5,16.45308,102.845265,รับอุดหนุน,เปิดกิจการ
279,1340100098,วิทยาลัยเทคโนโลยีภาคตะวันออกเฉียงเหนือ,200,17,บ้านกอก,มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,043-222-781,16.421862,102.818781,รับอุดหนุน,เปิดกิจการ
280,1340100099,วิทยาลัยเทคโนโลยีขอนแก่น,123,14,โรงเรียนไพบูลย์, มิตรภาพ,ในเมือง,เมืองขอนแก่น,ขอนแก่น,043-237-463,16.455448,102.829645,รับอุดหนุน,เปิดกิจการ
281,1340100101,วิทยาลัยเทคโนโลยีพงษ์ภิญโญ,167,7,มะลิวัลย์ซอย 3,มะลิวัลย์,ในเมือง,เมืองขอนแก่น,ขอนแก่น,043-241-848,16.438725,102.823973,รับอุดหนุน,เปิดกิจการ
282,1340100103,วิทยาลัยเทคโนโลยีชุมแพไทย-เยอรมัน,57,4,,ชุมแพ - ภูเขียว,ชุมแพ,ชุมแพ,ขอนแก่น,043-313-234,16.5243865,102.1091811,รับอุดหนุน,เปิดกิจการ
283,1340100104,วิทยาลัยเทคโนโลยีพลพณิชยการ,211,,,มิตรภาพ,โจดหนองแก,พล,ขอนแก่น,043-414199,15.8525852,102.6202336,รับอุดหนุน,เปิดกิจการ
284,1340100118,วิทยาลัยเทคโนโลยีอมตะ,888,4,,ประชาพัฒนา,หนองสองห้อง,หนองสองห้อง,ขอนแก่น,043-491515,15.7374233,102.7964563,รับอุดหนุน,เปิดกิจการ
285,1340100120,วิทยาลัยเทคโนโลยีคุวานันท์,64,18,,มะลิวัลย์,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,"434,238,630,864,582,000",16.4493345,102.7519761,รับอุดหนุน,เปิดกิจการ
286,1340100128,วิทยาลัยอาชีวศึกษาคนตาบอดขอนแก่น,192,6,,,สำราญ,เมืองขอนแก่น,ขอนแก่น,043-306-063,16.5565881,102.8389883,รับอุดหนุน,เปิดกิจการ
287,1340100133,วิทยาลัยเทคโนโลยีสีชมพู,9,15,,,วังเพิ่ม,สีชมพู,ขอนแก่น,089-9414383,16.794737,102.179004,รับอุดหนุน,เปิดกิจการ
288,1340100141,วิทยาลัยเทคโนโลยีพิมพ์ไทย,444,11,,บ้านทุ่ม-มัญจาคีรี,บ้านหว้า,เมืองขอนแก่น,ขอนแก่น,043-040107-8,16.3794661,102.6966473,รับอุดหนุน,เปิดกิจการ
289,1340100284,วิทยาลัยเทคโนโลยีหนองเรือ ไทย-เยอรมัน,513,9,,สร้อยศรีอุทิศ,บ้านกง,หนองเรือ,ขอนแก่น,043-299245,16.48729405,102.5359769,รับอุดหนุน,เปิดกิจการ
290,1340100287,วิทยาลัยอาชีวศึกษาการท่องเที่ยวและการโรงแรมขอนแก่น,467,12,,มะลิวัลย์,บ้านทุ่ม,เมืองขอนแก่น,ขอนแก่น,043-255344,16.4497713,102.693321,รับอุดหนุน,เปิดกิจการ
291,1340100289,วิทยาลัยเทคโนโลยีพุทธเกษม,69,10,,บ้านขาม-หนองกุง,หนองกุง,น้ำพอง,ขอนแก่น,043-306-743,16.69542921,102.8857094,รับอุดหนุน,เปิดกิจการ
292,1340100291,วิทยาลัยเทคโนโลยีนครขอนแก่น,555,4,,ขอนแก่น-มัญจาคีรี,บ้านทุ่ม,เมืองขอนแก่น,ขอนแก่น,043-255355,16.4379214,102.7100099,รับอุดหนุน,เปิดกิจการ
293,1340100292,วิทยาลัยเทคโนโลยีภูเวียงพณิชยการ,95,10,,,สงเปือย,ภูเวียง,ขอนแก่น,43000525,16.5970993,102.4031607,รับอุดหนุน,เปิดกิจการ
294,1340100293,วิทยาลัยเทคโนโลยีมหานครขอนแก่นเอเชีย,399,10,,มะลิวัลย์,ชุมแพ,ชุมแพ,ขอนแก่น,847921919,16.560942,102.0598833,รับอุดหนุน,เปิดกิจการ
295,1341100017,วิทยาลัยเทคโนโลยีอีสานเหนือ 2 กุมภวาปี,128,5,,มิตรภาพ,ตูมใต้,กุมภวาปี,อุดรธานี,042-398-282,17.0854647,102.9344244,รับอุดหนุน,เปิดกิจการ
296,1341100034,วิทยาลัยเทคโนโลยีโปลีเทคนิคอุดรธานี,98,,,อำเภอ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,42242386,17.3970454,102.7874942,รับอุดหนุน,เปิดกิจการ
297,1341100035,วิทยาลัยเทคโนโลยีสันตพล,299,4,ทิพย์เทวา,นิตโย,หนองบัว,เมืองอุดรธานี,อุดรธานี,042-223-105,17.3879959,102.8275203,รับอุดหนุน,เปิดกิจการ
298,1341100036,โรงเรียนช่างกลอุดรธานี,75/22,,จินตคาม,ทหาร,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,042-237-676,17.3956896,102.7908992,รับอุดหนุน,เปิดกิจการ
299,1341100037,วิทยาลัยเทคโนโลยีบ้านจั่น,235,1,,อุดร-ขอนแก่น,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,42300148,17.3624628,102.8162364,รับอุดหนุน,เปิดกิจการ
300,1341100038,วิทยาลัยเทคโนโลยีราชธานี(เลิกกิจการตั้งแต่ปีการศึกษา2557เป็นต้นไป),293,,,เลี่ยงเมือง,หนองขอนกว้าง,เมืองอุดรธานี,อุดรธานี,42323189,,,ไม่รับอุดหนุน,เลิกกิจการ
301,1341100039,วิทยาลัยเทคโนโลยีอีสานเหนือ,140,11,,,นาข่า,เมืองอุดรธานี,อุดรธานี,42110160,17.5434671,102.8001055,รับอุดหนุน,เปิดกิจการ
302,1341100041,วิทยาลัยเทคโนโลยีภูมิพิชญ,317,13,,สาธารณะ,เมืองเพีย,กุดจับ,อุดรธานี,042-291-313,17.4183476,102.5641429,รับอุดหนุน,เปิดกิจการ
303,1341100042,วิทยาลัยอาชีวศึกษาหนองหาน,282,11,,อุดร-สกล,หนองหาน,หนองหาน,อุดรธานี,42261349,17.362353,103.132824,รับอุดหนุน,เปิดกิจการ
304,1341100044,วิทยาลัยอาชีวศึกษาเทคนิคพิชญบัณฑิต,120,7,,สิทธิประสาท,ศรีสุทโธ,บ้านดุง,อุดรธานี,042-271-639,17.6845605,103.2579442,รับอุดหนุน,เปิดกิจการ
305,1341100045,วิทยาลัยเทคโนโลยีพณิชยการบ้านดุง,269,6,,คำหนองนิด,ศรีสุทโธ,บ้านดุง,อุดรธานี,042-271-619,17.705336,103.255989,รับอุดหนุน,เปิดกิจการ
306,1341100046,วิทยาลัยเทคโนโลยีเลิศสหพันธ์,204,6,,บ้านผือ - น้ำโสม,หนองแวง,น้ำโสม,อุดรธานี,042-132248,17.7952035,102.267638,รับอุดหนุน,เปิดกิจการ
307,1341100052,วิทยาลัยเทคโนโลยีพิชญบัณฑิต 2,199,8,,อุดรดุษฏี,หมูม่น,เมืองอุดรธานี,อุดรธานี,42930658,17.4518456,102.7901542,รับอุดหนุน,เปิดกิจการ
308,1341100055,วิทยาลัยเทคโนโลยีรังสิโยภาส,198,8,,,ศรีธาตุ,ศรีธาตุ,อุดรธานี,42382220,16.9779374,103.2138092,รับอุดหนุน,เปิดกิจการ
309,1341100059,วิทยาลัยอาชีวศึกษาไท-เทควังสามหมอ,565,2,,สามชัย - วังสามหมอ,วังสามหมอ,วังสามหมอ,อุดรธานี,042-387-311,16.9428119,103.4436206,รับอุดหนุน,เปิดกิจการ
310,1341100107,วิทยาลัยเทคโนโลยีภูมิบัณฑิต,149,9,,บ้านผือ-น้ำโสม,บ้านผือ,บ้านผือ,อุดรธานี,042-151-262,17.7030806,102.4379016,รับอุดหนุน,เปิดกิจการ
311,1341100108,วิทยาลัยเทคโนโลยีบริหารธุรกิจอุดรธานี,243,12,,อุดร-หนองคาย,กุดสระ,เมืองอุดรธานี,อุดรธานี,042-206-340,17.49018563,102.8457642,รับอุดหนุน,เปิดกิจการ
312,1341100119,วิทยาลัยเทคโนโลยีพิชญพิชญ์,3,13,,,หนองเม็ก,หนองหาน,อุดรธานี,042-239256,17.3641247,103.1587815,รับอุดหนุน,เปิดกิจการ
313,1341100120,วิทยาลัยเทคโนโลยีไคโกะอุดรธานี,432,,,โนนภู่ทอง,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,824591978,17.3328187,102.8278682,รับอุดหนุน,เปิดกิจการ
314,1341100121,วิทยาลัยเทคโนโลยีปุณปัญญาบริหารธุรกิจ,303,8,,,กลางใหญ่,บ้านผือ,อุดรธานี,,17.7255543,102.3932684,รับอุดหนุน,เปิดกิจการ
315,1342100012,วิทยาลัยเทคโนโลยีเลยบริหารธุรกิจ,111,6,,มลิวรรณ,นาอาน,เมืองเลย,เลย,042-861421,17.447191,101.7304362,รับอุดหนุน,เปิดกิจการ
316,1342100015,วิทยาลัยเทคโนโลยีหลวงปู่ชอบฐานสโม,509,2,,,เชียงคาน,เชียงคาน,เลย,42822025,17.90034163,101.6832733,รับอุดหนุน,เปิดกิจการ
317,1342100016,วิทยาลัยอาชีวศึกษามหานครเลย,169,10,,,ห้วยส้ม,ภูกระดึง,เลย,819655155,16.9835117,101.9090353,รับอุดหนุน,เปิดกิจการ
318,1342100017,วิทยาลัยเทคโนโลยีสิริปัญญาบริหารธุรกิจ,293,6,,,วังสะพุง,วังสะพุง,เลย,650983536,13.8439447,100.568733,รับอุดหนุน,เปิดกิจการ
319,1343010240,วิทยาลัยเทคโนโลยีพระมหาไถ่ หนองคาย ในพระราชูปถัมภ์ สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,201,4,ดอนแดง3,เสด็จ,มีชัย,เมืองหนองคาย,หนองคาย,42465645,17.8683445,102.7312137,รับอุดหนุน,เปิดกิจการ
320,1343100032,วิทยาลัยเทคโนโลยีเอเชียหนองคาย,152,7,,,ค่ายบกหวาน,เมืองหนองคาย,หนองคาย,931018098,17.7993737,102.7883204,รับอุดหนุน,เปิดกิจการ
321,1343100034,วิทยาลัยเทคโนโลยีอาเซียน,333,9,,มิตรภาพ,โพธิ์ชัย,เมืองหนองคาย,หนองคาย,042-421789,17.858743,102.750999,รับอุดหนุน,เปิดกิจการ
322,1343100036,วิทยาลัยอาชีวศึกษาพรเจริญ,184,4,,โคกอุดม-พรเจริญ,พรเจริญ,พรเจริญ,บึงกาฬ,42487386,18.0262793,103.7098807,รับอุดหนุน,เปิดกิจการ
323,1343100037,วิทยาลัยเทคโนโลยีโพนพิสัย,56,17,,,จุมพล,โพนพิสัย,หนองคาย,812952839,18.0308148,103.1251122,รับอุดหนุน,เปิดกิจการ
324,1343100038,วิทยาลัยเทคโนโลยีเอ็น-เทคอินเตอร์เนชั่นแนล,86,4,,พังโคน-บึงกาฬ,ท่ากกแดง,เซกา,บึงกาฬ,878640951,17.9158772,103.7797818,รับอุดหนุน,เปิดกิจการ
325,1343100043,วิทยาลัยอาชีวศึกษาเอกปัญญา,193,2,,,ผาตั้ง,สังคม,หนองคาย,42441424,18.0500619,102.2890626,รับอุดหนุน,เปิดกิจการ
326,1343100045,วิทยาลัยเทคโนโลยีศรีเชียงใหม่,41,7,,ศรีเชียงใหม่-สังคม,บ้านหม้อ,ศรีเชียงใหม่,หนองคาย,042-014-335,17.95625892,102.4811313,รับอุดหนุน,เปิดกิจการ
327,1343100056,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย บึงกาฬ,198,10,,บึงกาฬ-พังโคน,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,042-088272,18.3244775,103.6318368,รับอุดหนุน,เปิดกิจการ
328,1343100057,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย ท่าบ่อ,76,6,,ท่าบ่อ-หนองสองห้อง,บ้านเดื่อ,ท่าบ่อ,หนองคาย,42414886,17.800828,102.601558,รับอุดหนุน,เปิดกิจการ
329,1343100058,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย โพนพิสัย,144,4,,โพนพิสัย - บึงกาฬ,จุมพล,โพนพิสัย,หนองคาย,42471101,18.0575461,103.0823913,รับอุดหนุน,เปิดกิจการ
330,1343100065,วิทยาลัยเทคโนโลยีวิชาชีพท่าบ่อ,409,6,,ห้าธันวา,ท่าบ่อ,ท่าบ่อ,หนองคาย,42432240,17.8402893,102.5743318,รับอุดหนุน,เปิดกิจการ
331,1343100066,วิทยาลัยเทคโนโลยีท่าบ่อบัณฑิต,345/1,3,,ท่าบ่อ-ศรีเชียงใหม่,กองนาง,ท่าบ่อ,หนองคาย,42991509,17.8825401,102.5855883,รับอุดหนุน,เปิดกิจการ
332,1344100039,วิทยาลัยเทคโนโลยีพณิชยการมหาสารคาม,8,2,บึงกุดรัง,นาเชือก-ปอพาน,นาเชือก,นาเชือก,มหาสารคาม,043-779-234,15.8041128,103.0296963,รับอุดหนุน,เปิดกิจการ
333,1344100042,วิทยาลัยเทคโนโลยีเอเชียแปซิฟิก,13,8,,ขอนแก่น-กาฬสินธุ์,กู่ทอง,เชียงยืน,มหาสารคาม,043-988607,16.40451533,103.0038729,รับอุดหนุน,เปิดกิจการ
334,1344100043,วิทยาลัยอาชีวศึกษาเอเชียอาคเนย์,188,5,,,เมืองเสือ,พยัคฆภูมิพิสัย,มหาสารคาม,942807758,15.4908247,103.2022308,รับอุดหนุน,เปิดกิจการ
335,1345100017,โรงเรียนบัณฑิตวิทยา,11,1,,ประดู่,รอบเมือง,หนองพอก,ร้อยเอ็ด,043-579-306,,,ไม่รับอุดหนุน,เลิกกิจการ
336,1345100026,วิทยาลัยเทคโนโลยีพรเพชรร้อยเอ็ด,120,3,,บายพาส(ร้อยเอ็ด)อาจสามารถ,รอบเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,43515220,16.0365711,103.6716686,รับอุดหนุน,เปิดกิจการ
337,1345100027,วิทยาลัยเทคโนโลยีร้อยเอ็ด,284,,,รณชัยชาญยุทธ,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,043-511-620,16.0478234,103.6606669,รับอุดหนุน,เปิดกิจการ
338,1345100028,วิทยาลัยเทคโนโลยีพณิชยการพลาญชัยร้อยเอ็ด,43,1,,ร้อยเอ็ด-วาปีปทุม,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,043-525-163,16.03523902,103.6221141,รับอุดหนุน,เปิดกิจการ
